Name,Price,Hourly Change,Progress,Timestamp
Daniel Muñoz Mejía,6.0,-22167.0,-0.22,2025-12-13 07:11:31
Jean-Philippe Mateta,7.9,-20307.0,-0.2,2025-12-13 07:11:31
Igor Thiago Nascimento Rodrigues,7.1,16198.0,0.16,2025-12-13 07:11:31
Phil Foden,8.7,14268.0,0.14,2025-12-13 07:11:31
Bruno Borges Fernandes,9.2,11620.0,0.12,2025-12-13 07:11:31
Matty Cash,4.9,10546.0,0.11,2025-12-13 07:11:31
Harry Wilson,5.4,9935.0,0.1,2025-12-13 07:11:31
Cody Gakpo,7.4,-10044.0,-0.1,2025-12-13 07:11:31
Bryan Mbeumo,8.3,-9730.0,-0.1,2025-12-13 07:11:31
Jurriën Timber,6.5,-8863.0,-0.09,2025-12-13 07:11:31
Trevoh Chalobah,5.4,8527.0,0.09,2025-12-13 07:11:31
Bukayo Saka,10.2,6863.0,0.07,2025-12-13 07:11:31
Antoine Semenyo,7.6,-7436.0,-0.07,2025-12-13 07:11:31
Riccardo Calafiori,5.7,-7389.0,-0.07,2025-12-13 07:11:31
Piero Hincapié,5.5,5662.0,0.06,2025-12-13 07:11:31
Joachim Andersen,4.6,5838.0,0.06,2025-12-13 07:11:31
Kiernan Dewsbury-Hall,5.1,5870.0,0.06,2025-12-13 07:11:31
Marcos Senesi Barón,5.0,-5564.0,-0.06,2025-12-13 07:11:31
Yankuba Minteh,6.2,-5055.0,-0.05,2025-12-13 07:11:31
João Pedro Junqueira de Jesus,7.3,-5492.0,-0.05,2025-12-13 07:11:31
